model,profile,structured_output,scenario,raw_output,status,parsed,valid,expected_match,latency_ms
Qwen3.5-2B,Reactive,True,intruder_healthy_1,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,137.6
Qwen3.5-2B,Reactive,True,intruder_healthy_2,"{""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,1,198.9
Qwen3.5-2B,Reactive,True,intruder_healthy_3,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,206.7
Qwen3.5-2B,Reactive,True,intruder_healthy_4,"{""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,1,203.5
Qwen3.5-2B,Reactive,True,quiet_1,"{""action"":""HoldPosition""}",ok,1,1,0,149.0
Qwen3.5-2B,Reactive,True,quiet_2,"{""action"":""HoldPosition""}",ok,1,1,0,132.9
Qwen3.5-2B,Reactive,True,quiet_3,"{""action"":""HoldPosition""}",ok,1,1,0,135.0
Qwen3.5-2B,Reactive,True,report_warehouse,"{""action"":""Investigate"",""arg"":""Warehouse""}",ok,1,1,1,179.9
Qwen3.5-2B,Reactive,True,report_courtyard,"{""action"":""Investigate"",""arg"":""Courtyard""}",ok,1,1,1,169.4
Qwen3.5-2B,Reactive,True,report_gate,"{""action"":""Investigate"",""arg"":""Gate""}",ok,1,1,1,175.1
Qwen3.5-2B,Reactive,True,report_hurt_no_intruder,"{""action"":""Investigate"",""arg"":""Warehouse""}",ok,1,1,1,165.3
Qwen3.5-2B,Reactive,True,report_gate_hurt,"{""action"":""Investigate"",""arg"":""Gate""}",ok,1,1,1,187.8
Qwen3.5-2B,Reactive,True,hurt_intruder_1,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,0,202.2
Qwen3.5-2B,Reactive,True,hurt_intruder_2,"{""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,0,223.9
Qwen3.5-2B,Reactive,True,hurt_intruder_3,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,0,201.5
Qwen3.5-2B,Reactive,True,borderline_healthy,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,198.3
Qwen3.5-2B,Reactive,False,intruder_healthy_1,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,138.4
Qwen3.5-2B,Reactive,False,intruder_healthy_2,"{""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,1,205.5
Qwen3.5-2B,Reactive,False,intruder_healthy_3,"{""action"":""Chase"",""arg"":""Intruder_01""}",ok,1,1,1,203.0
Qwen3.5-2B,Reactive,False,intruder_healthy_4,"{""action"":""Chase"",""arg"":""Intruder_02""}",ok,1,1,1,201.6
Qwen3.5-2B,Reactive,False,quiet_1,"{""action"":""HoldPosition""}",ok,1,1,0,132.6
Qwen3.5-2B,Reactive,False,quiet_2,"{""action"":""HoldPosition""}",ok,1,1,0,132.1
Qwen3.5-2B,Reactive,False,quiet_3,"{""action"":""HoldPosition""}",ok,1,1,0,133.1
Qwen3.5-2B,Reactive,False,report_warehouse,"{""action"":""Investigate"",""arg"":""Warehouse""}",ok,1,1,1,160.7
Qwen3.5-2B,Reactive,False,report_courtyard,"{""action"":""Investigate"",""arg"":""Courtyard""}",ok,1,1,1,167.4
Qwen3.5-2B,Reactive,False,report_gate,"{""action"":""Investigate"",""arg"":""Gate""}",ok,1,1,1,161.6
Qwen3.5-2B,Reactive,False,report_hurt_no_intruder,"{""action"":""Investigate"",""arg"":""Warehouse""}",ok,1,1,1,160.0
